German,English
ich,I
sie,you
das,the
die,the
es,it
und,and
der,the
wir,we
was,What
ja,Yes
mir,me
mit,With
wie,how
den,the
mich,me
auf,on
dass,that
aber,but
eine,a
so,so
hat,Has
hier,here
haben,to have
sind,are
war,was
von,of
wenn,if
dich,you
ihr,you
nein,No
habe,have
an,at
bin,am
noch,still
nur,just
da,there
dir,to you
sich,yourself
einen,one
uns,us
dem,the
kann,can
gut,Well
auch,also
schon,beautiful
als,as
sein,be
mal,times
jetzt,now
ihn,him
aus,out
meine,my
um,around
im,in the
wird,becomes
bist,are
doch,but
alles,everything
weiß,White
keine,no
oder,or
nach,to
nichts,Nothing
man,you
muss,got to
werden,become
will,want
ihnen,them
geht,going
etwas,something
oh,Oh
mehr,more
bei,at
also,so
bitte,You're welcome
immer,always
hab,hab
warum,Why
vor,in front
los,Come on
können,can
wieder,again
sagen,say
machen,do
alle,all
